Contract reference,Name,Province,Area,Primary Number,Collection name,House Hold Size,Registration Date
C352270011,S***,Lusaka,Kabanana,XXXX0325,C***,2,5/31/2025
C352290019,A***,Lusaka,Kabanana,XXXX4346,C***,7,9/8/2025
C352310015,L***,Lusaka,Kabanana,XXXX4156,C***,3,5/31/2025
C352340012,A***,Lusaka,Kabanana,XXXX7860,C***,6,6/2/2025
C352440010,J***,Lusaka,Kabanana,XXXX5177,C***,3,6/2/2025
C352460018,R***,Lusaka,Mtendere Main,XXXX5066,J***,6,6/2/2025
C352520019,M***,Lusaka,Mtendere,XXXX7424,J***,6,8/15/2025
C352530018,F***,Lusaka,Kabanana,XXXX9755,C***,5,6/2/2025
C352560015,M***,Lusaka,Mtendere,XXXX4570,J***,7,7/6/2025
C352610018,J***,Lusaka,Chawama,XXXX4201,R***,5,6/13/2025
C352700017,P***,Lusaka,Mtendere,XXXX0636,J***,7,6/2/2025
C352750012,T***,Lusaka,Libala South,XXXX1012,G***,3,6/3/2025
C352760011,R***,Lusaka,Libala South,XXXX1727,G***,5,7/23/2025
C352800015,A***,Lusaka,Libala South,XXXX7436,G***,4,6/3/2025
C352810014,J***,Lusaka,Libala South,XXXX6528,G***,6,6/3/2025
C352830012,R***,Lusaka,Libala South,XXXX1624,G***,7,6/3/2025
C353180011,B***,Lusaka,Kaunda Square Stage One,XXXX1526,J***,5,6/11/2025
C353280019,K***,Lusaka,Kanyama,XXXX0273,D***,14,6/10/2025
C353310014,M***,Lusaka,Kaunda Square Stage One,XXXX9220,J***,5,6/4/2025
C353420011,G***,Lusaka,Kanyama,XXXX4411,D***,4,6/3/2025
C353440019,R***,Lusaka,Kaunda Square Stage One,XXXX3551,J***,8,6/4/2025
C353510019,J***,Lusaka,Kanyama,XXXX5383,D***,5,6/3/2025
C353570013,A***,Lusaka,Kaunda Square Stage One,XXXX7163,J***,8,6/4/2025
C353650013,E***,Lusaka,Kanyama,XXXX7616,D***,6,6/26/2025
C353700016,J***,Lusaka,Kaunda Square Stage One,XXXX5814,J***,5,6/4/2025
C354140014,E***,Lusaka,Jack Compound,XXXX2564,M***,5,6/13/2025
C354220014,N***,Lusaka,Jack Compound,XXXX0078,M***,6,6/5/2025
C354260010,E***,Lusaka,Chilenje South,XXXX2288,I***,9,6/9/2025
C354290017,B***,Lusaka,Jack Compound,XXXX5525,M***,5,6/5/2025
C354340010,M***,Lusaka,Chilenje,XXXX3874,L***,8,6/5/2025
C354360018,C***,Lusaka,Chalala,XXXX6796,S***,8,6/11/2025
C354390015,J***,Lusaka,Chilenje South,XXXX0516,L***,5,7/24/2025
C354480014,S***,Lusaka,Chilenje South,XXXX4800,L***,5,6/4/2025
C354510018,M***,Lusaka,Chilenje South,XXXX2472,L***,3,6/13/2025
C354520017,L***,Lusaka,Chilenje South,XXXX0537,I***,6,6/13/2025
C354570012,S***,Lusaka,Chilenje South,XXXX3191,S***,10,6/11/2025
C354610016,M***,Lusaka,Kamwala South,XXXX6058,I***,4,6/20/2025
C354700015,M***,Lusaka,Ngombe,XXXX4833,J***,4,6/20/2025
C354970014,R***,Lusaka,Ngombe,XXXX6147,B***,9,6/5/2025
C355000019,J***,Lusaka,Ngombe,XXXX6270,J***,7,6/5/2025
C355080011,M***,Lusaka,Ngombe,XXXX6243,B***,4,6/5/2025
C355310012,W***,Lusaka,Ngombe,XXXX5140,B***,8,6/11/2025
C355400011,S***,Lusaka,Twin Palm,XXXX8009,S***,7,6/7/2025
C355410010,H***,Lusaka,Kabulonga,XXXX8919,S***,9,8/20/2025
C355440017,E***,Lusaka,Kabulonga,XXXX9870,S***,7,6/12/2025
