Contract reference,Name,Province,Area,Primary Number,Collection name,House Hold Size,Registration Date
C372590018,R***,Lusaka,6 Miles,XXXX5574,L***,5,8/15/2025
C372600015,B***,Lusaka,Middle west,XXXX0738,L***,6,8/16/2025
C372610014,N***,Lusaka,6 Miles,XXXX3059,L***,8,8/12/2025
C372640011,R***,Lusaka,6 Miles,XXXX8890,L***,6,8/12/2025
C372740019,L***,Lusaka,15 Miles,XXXX0818,S***,4,8/26/2025
C372760017,T***,Lusaka,15 Miles,XXXX3434,S***,7,8/26/2025
C372780015,M***,Lusaka,15 Miles,XXXX3360,S***,7,8/5/2025
C372810010,E***,Lusaka,Helen Kaunda,XXXX7017,A***,3,7/23/2025
C372840017,N***,Lusaka,New Kasama,XXXX4040,M***,7,7/23/2025
C372890012,Q***,Lusaka,Kalingalinga,XXXX6661,A***,8,7/23/2025
C372930016,I***,Lusaka,Kalingalinga,XXXX5014,A***,6,7/23/2025
C373130012,L***,Lusaka,Kabanana,XXXX0457,E***,5,7/24/2025
C373140011,M***,Lusaka,Kalingalinga,XXXX3231,A***,6,7/24/2025
C373320019,M***,Lusaka,Chilenje South,XXXX2989,I***,3,7/28/2025
C373410018,K***,Lusaka,Garden House,XXXX5010,K***,4,8/26/2025
C373480011,L***,Lusaka,Chelstone,XXXX0176,T***,5,7/26/2025
C373590017,M***,Lusaka,Kamanga,XXXX4273,M***,3,7/26/2025
C373610013,C***,Lusaka,Kamanga,XXXX2338,M***,5,7/26/2025
C373660018,N***,Lusaka,Kamanga,XXXX3083,M***,3,7/26/2025
C373730019,C***,Lusaka,Kamanga,XXXX6900,M***,7,7/26/2025
C373760016,M***,Lusaka,Kamanga,XXXX1307,M***,6,7/26/2025
C373790013,T***,Lusaka,Kamanga,XXXX3362,M***,7,7/27/2025
C373830017,R***,Lusaka,Kamanga,XXXX6056,M***,9,7/28/2025
C373870013,C***,Lusaka,Kamanga,XXXX0977,M***,2,7/28/2025
C373940014,B***,Lusaka,Kamanga,XXXX5072,M***,6,7/28/2025
C373950013,T***,Lusaka,Kamanga,XXXX2129,M***,4,7/28/2025
C373970011,D***,Lusaka,Kamanga,XXXX9572,M***,6,7/28/2025
C373990019,E***,Lusaka,Obama,XXXX3653,M***,7,7/28/2025
C374090017,F***,Lusaka,Kamanga,XXXX0565,M***,4,7/28/2025
C374140010,M***,Lusaka,Kaunda Square Stage One,XXXX5528,J***,5,7/28/2025
C374200012,A***,Lusaka,Garden Compound,XXXX0793,M***,7,8/8/2025
C374220010,A***,Lusaka,Mtendere East,XXXX5702,S***,5,7/28/2025
C374230019,B***,Lusaka,Kamanga,XXXX0538,M***,7,7/28/2025
C374260016,R***,Lusaka,Kamanga,XXXX3358,M***,5,7/28/2025
C374270015,F***,Lusaka,Garden Compound,XXXX9527,S***,5,8/8/2025
C374330017,C***,Lusaka,Garden Compound,XXXX2890,M***,5,8/8/2025
C374340016,J***,Lusaka,Kamanga,XXXX7149,M***,6,7/28/2025
C374350015,M***,Lusaka,Kamanga,XXXX8591,M***,5,7/28/2025
C374450013,N***,Lusaka,Chelstone,XXXX2404,T***,4,7/30/2025
C374490019,P***,Lusaka,Kasupe,XXXX8464,A***,3,8/5/2025
C374500015,C***,Lusaka,Kasupe,XXXX6480,A***,3,8/5/2025
C374510014,R***,Lusaka,Kaunda Square Stage One,XXXX1274,J***,3,8/12/2025
C374540011,E***,Lusaka,Kasupe,XXXX5515,A***,6,8/5/2025
C374550010,E***,Lusaka,Kasupe,XXXX7530,A***,5,8/5/2025
C374610012,R***,Lusaka,Kaunda Square Stage One,XXXX9812,J***,4,8/12/2025
C374640019,J***,Lusaka,Chipata Compound,XXXX8567,E***,5,8/5/2025
C374660017,E***,Lusaka,Chipata Compound,XXXX4711,E***,4,8/5/2025
C374710010,E***,Lusaka,Chipata Compound,XXXX2249,E***,5,8/5/2025
C374730018,R***,Lusaka,Chipata Compound,XXXX2430,E***,3,8/5/2025
C374750016,A***,Lusaka,Chipata Compound,XXXX5913,E***,10,8/27/2025
C374760015,B***,Lusaka,Chipata Compound,XXXX6759,E***,13,8/5/2025
C374780013,S***,Lusaka,Chipata Compound,XXXX3915,E***,8,8/5/2025
C374890010,C***,Lusaka,Lusaka West,XXXX3859,M***,5,7/31/2025
C374900017,J***,Lusaka,Meanwood Ndeke,XXXX9855,M***,2,7/31/2025
C374920015,M***,Lusaka,Kaunda Square Stage One,XXXX6299,J***,6,8/13/2025
C375180015,G***,Lusaka,Mtendere East,XXXX6275,S***,11,8/13/2025
C375260015,J***,Lusaka,10 Miles,XXXX6232,J***,5,8/8/2025
C375290012,R***,Lusaka,10 Miles,XXXX4251,V***,8,8/7/2025
C375330016,B***,Lusaka,Kaunda Square Stage One,XXXX7058,J***,3,8/14/2025
C375340015,M***,Lusaka,Kabanana,XXXX5743,E***,5,8/5/2025
C375350014,H***,Lusaka,Kabwata,XXXX3249,I***,7,8/7/2025
C375360013,E***,Lusaka,Kabwata,XXXX8007,I***,5,8/7/2025
C375370012,A***,Lusaka,Kabwata,XXXX2907,I***,2,8/7/2025
C375390010,L***,Lusaka,Kabwata,XXXX8446,I***,5,8/7/2025
C375410016,M***,Lusaka,Kabwata,XXXX3599,I***,3,8/7/2025
C375430014,R***,Lusaka,Kabwata,XXXX3144,I***,6,8/7/2025
C375460011,S***,Lusaka,Libala South,XXXX7622,I***,5,8/7/2025
C375530011,B***,Lusaka,Apollo,XXXX5350,M***,5,8/6/2025
C375740016,J***,Lusaka,Zanimuone,XXXX9770,G***,6,8/5/2025
C375750015,M***,Lusaka,Zanimuone,XXXX9071,G***,6,8/5/2025
C375760014,M***,Lusaka,Zanimuone,XXXX5773,G***,7,8/5/2025
C375770013,M***,Lusaka,Zanimuone,XXXX4383,G***,8,8/5/2025
C375780012,D***,Lusaka,Zanimuone,XXXX5901,G***,6,8/5/2025
C375790011,B***,Lusaka,Zanimuone,XXXX9401,G***,4,8/5/2025
C375820016,B***,Lusaka,Zanimuone,XXXX9959,G***,4,8/5/2025
C375830015,D***,Lusaka,Ngombe,XXXX5166,J***,3,8/16/2025
C375860012,M***,Lusaka,Zanimuone,XXXX2915,G***,5,8/5/2025
C375890019,P***,Lusaka,Zanimuone,XXXX6785,G***,4,8/5/2025
C375910015,C***,Lusaka,Meanwood Ndeke,XXXX7410,M***,4,8/5/2025
C376090015,B***,Lusaka,Chazanga,XXXX1159,M***,6,8/6/2025
C376100012,E***,Lusaka,Chawama,XXXX2387,R***,2,8/6/2025
C376120010,T***,Lusaka,Chazanga,XXXX6657,M***,5,8/6/2025
C376160016,J***,Lusaka,Chazanga,XXXX5010,M***,8,8/6/2025
C376190013,O***,Lusaka,Chawama,XXXX3823,R***,4,8/6/2025
C376230017,F***,Lusaka,Chazanga,XXXX2484,M***,4,8/6/2025
C376250015,I***,Lusaka,Chazanga,XXXX5011,M***,6,8/6/2025
C376260014,P***,Lusaka,Chazanga,XXXX7121,M***,4,8/6/2025
C376270013,G***,Lusaka,Chazanga,XXXX8465,M***,5,8/7/2025
C376360012,J***,Lusaka,Chazanga,XXXX8600,M***,9,8/7/2025
C376380010,T***,Lusaka,Chazanga,XXXX1304,M***,8,8/7/2025
C376540019,N***,Lusaka,Kamanga,XXXX0907,M***,2,8/10/2025
C376710018,M***,Lusaka,Kamanga,XXXX2769,M***,4,8/9/2025
C376760013,D***,Lusaka,Kamanga,XXXX5396,M***,6,8/10/2025
C376790010,B***,Lusaka,Kamanga,XXXX0876,M***,4,8/10/2025
C376850012,M***,Lusaka,Kamanga,XXXX9344,M***,7,8/10/2025
C376860011,A***,Lusaka,Kasupe,XXXX4566,T***,5,8/10/2025
C376870010,F***,Lusaka,Kasupe,XXXX0752,T***,7,8/10/2025
C376880019,C***,Lusaka,Kasupe,XXXX1005,T***,11,8/12/2025
C376890018,G***,Lusaka,Kasupe,XXXX9087,T***,6,8/10/2025
C376900015,F***,Lusaka,Kamanga,XXXX6104,M***,8,8/10/2025
C376920013,J***,Lusaka,Kasupe,XXXX5727,T***,6,8/10/2025
C376930012,A***,Lusaka,Kasupe,XXXX0141,T***,4,8/10/2025
C376950010,M***,Lusaka,Kasupe,XXXX1837,T***,4,8/10/2025
C376960019,B***,Lusaka,Kasupe,XXXX0146,T***,5,8/13/2025
C376970018,M***,Lusaka,Kasupe,XXXX2954,T***,6,8/13/2025
C376980017,F***,Lusaka,Kasupe,XXXX3683,T***,4,8/10/2025
C377000013,P***,Lusaka,Kasupe,XXXX9476,T***,5,8/13/2025
C377020011,M***,Lusaka,Kasupe,XXXX9506,T***,7,8/10/2025
C377030010,G***,Lusaka,Kasupe,XXXX2324,T***,9,8/10/2025
C377040019,R***,Lusaka,Kasupe,XXXX5074,T***,7,8/12/2025
C377080015,K***,Lusaka,Chawama,XXXX2742,R***,8,8/11/2025
C377120019,C***,Lusaka,Kamwala South,XXXX0197,G***,5,8/11/2025
C377130018,O***,Lusaka,Misisi,XXXX3141,M***,6,8/11/2025
C377140017,F***,Lusaka,Chawama,XXXX8082,G***,6,8/11/2025
C377150016,L***,Lusaka,Chawama,XXXX6856,R***,6,8/11/2025
C377160015,M***,Lusaka,Chawama,XXXX4080,R***,7,8/11/2025
C377170014,M***,Lusaka,Chawama,XXXX0188,R***,6,8/11/2025
C377180013,D***,Lusaka,Kamwala South,XXXX2722,G***,4,8/11/2025
C377190012,E***,Lusaka,Chawama,XXXX1217,R***,3,8/11/2025
C377200019,P***,Lusaka,Lusaka West,XXXX3845,M***,3,8/11/2025
C377210018,B***,Lusaka,Chawama,XXXX4775,R***,4,8/11/2025
C377220017,S***,Lusaka,Chawama,XXXX2356,R***,9,8/11/2025
C377240015,E***,Lusaka,6 Miles,XXXX2400,L***,7,8/12/2025
C377260013,C***,Lusaka,6 Miles,XXXX2259,L***,6,8/12/2025
C377290010,M***,Lusaka,Kaunda Square Stage One,XXXX6248,J***,4,8/12/2025
C377330014,C***,Lusaka,Lilanda,XXXX2945,A***,7,8/12/2025
C377360011,J***,Lusaka,Matero,XXXX2978,A***,4,8/15/2025
C377380019,R***,Lusaka,Mtendere,XXXX9040,A***,6,8/12/2025
C377390018,F***,Lusaka,Mtendere,XXXX0457,A***,6,8/12/2025
C377400015,B***,Lusaka,Kaunda Square Stage One,XXXX2479,J***,8,8/13/2025
C377450010,L***,Lusaka,10 Miles,XXXX0451,J***,11,8/13/2025
C377470018,C***,Lusaka,10 Miles,XXXX1564,J***,4,8/13/2025
C377480017,B***,Lusaka,10 Miles,XXXX2150,J***,6,8/13/2025
C377490016,I***,Lusaka,10 Miles,XXXX7515,J***,12,8/13/2025
C377500012,L***,Lusaka,10 Miles,XXXX7285,J***,7,8/13/2025
C377520010,L***,Lusaka,10 Miles,XXXX0103,J***,9,8/13/2025
C377540018,H***,Lusaka,Kaunda Square Stage One,XXXX6973,J***,7,8/13/2025
C377570015,L***,Lusaka,10 Miles,XXXX9770,J***,6,8/13/2025
C377580014,L***,Lusaka,10 Miles,XXXX4306,J***,7,8/13/2025
C377590013,E***,Lusaka,10 Miles,XXXX3833,J***,7,8/13/2025
C377600010,R***,Lusaka,10 Miles,XXXX3236,J***,8,8/13/2025
C377610019,F***,Lusaka,10 Miles,XXXX6013,J***,6,8/13/2025
C377620018,G***,Lusaka,10 Miles,XXXX1632,J***,5,8/13/2025
C377630017,I***,Lusaka,10 Miles,XXXX0394,J***,7,8/13/2025
C377640016,M***,Lusaka,10 Miles,XXXX3778,J***,3,8/13/2025
C377650015,C***,Lusaka,10 Miles,XXXX7225,J***,8,8/13/2025
C377660014,P***,Lusaka,10 Miles,XXXX0039,J***,6,8/13/2025
C377670013,L***,Lusaka,10 Miles,XXXX2397,J***,6,8/13/2025
C377680012,T***,Lusaka,10 Miles,XXXX8999,J***,10,8/13/2025
C377690011,Y***,Lusaka,10 Miles,XXXX8478,J***,9,8/13/2025
C377700018,E***,Lusaka,10 Miles,XXXX7676,J***,6,8/13/2025
C377710017,A***,Lusaka,10 Miles,XXXX2927,J***,4,8/13/2025
C377720016,M***,Lusaka,10 Miles,XXXX0852,J***,4,8/13/2025
C377730015,C***,Lusaka,Mtendere Main,XXXX4030,A***,8,8/13/2025
C377740014,G***,Lusaka,Ngombe,XXXX8364,J***,7,8/14/2025
C377750013,M***,Lusaka,Chamba Valley,XXXX0955,J***,5,8/14/2025
C377840012,J***,Lusaka,Mtendere Main,XXXX9962,A***,4,8/14/2025
C377850011,B***,Lusaka,Kamwala South,XXXX8924,G***,4,8/14/2025
C377860010,A***,Lusaka,Kamwala South,XXXX2654,G***,5,8/14/2025
C377880018,J***,Lusaka,Kamwala South,XXXX2451,G***,7,8/14/2025
C377890017,E***,Lusaka,Kamwala South,XXXX5294,G***,4,8/14/2025
C377920012,E***,Lusaka,Kamwala South,XXXX6256,G***,4,8/14/2025
C377930011,A***,Lusaka,Kamwala South,XXXX2707,G***,4,8/14/2025
C377970017,P***,Lusaka,Kamwala South,XXXX0858,L***,4,8/14/2025
C377980016,A***,Lusaka,Mtendere Main,XXXX3618,A***,4,8/14/2025
C378000012,P***,Lusaka,Mtendere Main,XXXX0747,A***,5,8/14/2025
C378010011,S***,Lusaka,Mtendere Main,XXXX4406,A***,7,8/14/2025
C378070015,L***,Lusaka,Chawama,XXXX3878,D***,6,8/15/2025
C378080014,S***,Lusaka,Chawama,XXXX0448,D***,4,8/15/2025
C378090013,F***,Lusaka,Makeni,XXXX5544,D***,9,8/15/2025
C378100010,V***,Lusaka,Chawama,XXXX1713,D***,3,8/15/2025
C378110019,M***,Lusaka,Chawama,XXXX7688,D***,6,8/15/2025
C378120018,S***,Lusaka,Chawama,XXXX8690,D***,5,8/15/2025
C378230015,W***,Lusaka,Garden House,XXXX9627,K***,5,8/16/2025
C378280010,A***,Lusaka,Kabanana,XXXX1476,E***,7,8/18/2025
C378290019,P***,Lusaka,Foxdale,XXXX6255,J***,5,8/18/2025
C378300016,B***,Lusaka,Kabanana,XXXX9421,E***,5,8/18/2025
C378350011,T***,Lusaka,Kabanana,XXXX9986,E***,4,8/19/2025
C378410013,M***,Lusaka,Kabanana,XXXX8312,E***,3,8/19/2025
C378440010,G***,Lusaka,Chawama,XXXX5227,D***,6,8/20/2025
C378450019,D***,Lusaka,Chawama,XXXX8729,D***,0,8/21/2025
C378580013,P***,Lusaka,Kasupe,XXXX9170,A***,0,8/20/2025
C378600019,B***,Lusaka,Kasupe,XXXX8841,A***,0,8/20/2025
C378610018,R***,Lusaka,Kasupe,XXXX3744,A***,7,8/20/2025
C378620017,T***,Lusaka,Kasupe,XXXX0518,A***,5,8/20/2025
C378630016,J***,Lusaka,Kasupe,XXXX4979,A***,5,8/20/2025
C378640015,S***,Lusaka,Kasupe,XXXX0351,A***,5,8/22/2025
C378650014,P***,Lusaka,Kasupe,XXXX6627,A***,3,8/22/2025
C378700017,M***,Lusaka,Kasupe,XXXX1944,A***,5,8/21/2025
C378710016,S***,Lusaka,Kasupe,XXXX4629,A***,5,8/21/2025
C378720015,M***,Lusaka,Kasupe,XXXX3437,A***,8,8/21/2025
C378760011,D***,Lusaka,Kasupe,XXXX7628,A***,0,8/28/2025
C378770010,M***,Lusaka,Kasupe,XXXX1343,A***,0,8/28/2025
C378780019,M***,Lusaka,Kasupe,XXXX2627,A***,6,8/28/2025
C378800015,J***,Lusaka,Kasupe,XXXX0109,A***,5,8/28/2025
C378840011,E***,Lusaka,Chazanga,XXXX4843,M***,7,8/26/2025
C378850010,M***,Lusaka,Chazanga,XXXX5894,M***,0,8/26/2025
C378860019,F***,Lusaka,Chazanga,XXXX1177,M***,0,8/26/2025
C378880017,J***,Lusaka,Chazanga,XXXX5463,M***,5,8/26/2025
C378890016,J***,Lusaka,Chazanga,XXXX2757,M***,0,8/26/2025
C378900013,C***,Lusaka,Chazanga,XXXX8824,M***,8,8/26/2025
C378930010,L***,Lusaka,Chazanga,XXXX1004,M***,6,8/26/2025
C378940019,K***,Lusaka,Chazanga,XXXX7443,M***,0,8/26/2025
C378950018,C***,Lusaka,Chazanga,XXXX1235,M***,0,8/26/2025
C378960017,M***,Lusaka,Chazanga,XXXX2220,M***,3,8/26/2025
C378980015,S***,Lusaka,Chazanga,XXXX1877,M***,0,8/26/2025
C378990014,E***,Lusaka,Chazanga,XXXX7013,M***,7,8/26/2025
C379000011,S***,Lusaka,Chazanga,XXXX3733,M***,0,8/26/2025
C379020019,E***,Lusaka,Barlastone,XXXX7612,A***,6,8/25/2025
C379040017,E***,Lusaka,Kabulonga,XXXX2043,S***,3,8/25/2025
C379050016,T***,Lusaka,Kabulonga,XXXX3631,S***,0,8/25/2025
C379060015,M***,Lusaka,Kabulonga,XXXX8639,S***,0,8/25/2025
C379070014,E***,Lusaka,Kabulonga,XXXX0429,S***,4,8/25/2025
C379120017,E***,Lusaka,Kabulonga,XXXX4794,S***,0,8/25/2025
C379220015,B***,Lusaka,John Haward,XXXX2084,F***,3,8/26/2025
C379230014,M***,Lusaka,John Haward,XXXX9033,F***,5,8/26/2025
C379240013,V***,Lusaka,John Haward,XXXX7334,F***,0,8/26/2025
C379250012,Z***,Lusaka,John Haward,XXXX4747,F***,0,8/26/2025
C379260011,F***,Lusaka,Kabanana,XXXX0452,E***,5,8/26/2025
C379290018,L***,Lusaka,John Haward,XXXX2510,F***,7,8/26/2025
C379300015,J***,Lusaka,John Haward,XXXX1828,F***,0,8/26/2025
C379310014,F***,Lusaka,John Haward,XXXX3303,F***,4,8/26/2025
C379320013,J***,Lusaka,John Haward,XXXX2400,F***,4,8/26/2025
C379370018,C***,Lusaka,John Haward,XXXX1331,F***,3,8/26/2025
C379480015,S***,Lusaka,Ngombe,XXXX7152,B***,0,8/28/2025
C379490014,G***,Lusaka,Ngombe,XXXX3798,B***,5,8/27/2025
C379500010,B***,Lusaka,Ngombe,XXXX3217,B***,0,8/28/2025
C379520018,E***,Lusaka,Ngombe,XXXX8441,B***,3,8/28/2025
C379530017,E***,Lusaka,Ngombe,XXXX9496,B***,5,8/28/2025
C379540016,S***,Lusaka,Ngombe,XXXX5388,B***,0,8/28/2025
C379550015,M***,Lusaka,Ngombe,XXXX7944,B***,3,8/28/2025
C379560014,M***,Lusaka,Ngombe,XXXX9240,B***,5,8/28/2025
C379570013,L***,Lusaka,Ngombe,XXXX6200,B***,0,8/28/2025
C379580012,I***,Lusaka,Ngombe,XXXX7072,B***,0,8/27/2025
C379590011,S***,Lusaka,Ngombe,XXXX0594,B***,4,8/28/2025
C379640014,V***,Lusaka,Ngombe,XXXX0013,B***,5,8/27/2025
C379660012,M***,Lusaka,Ngombe,XXXX1006,B***,5,8/27/2025
C379670011,T***,Lusaka,Kabanana,XXXX0931,E***,9,8/28/2025
C379810013,G***,Lusaka,Chilenje,XXXX2299,I***,5,8/29/2025
C379820012,B***,Lusaka,Chilenje,XXXX8389,I***,6,8/29/2025
C379830011,M***,Lusaka,Chilenje South,XXXX1245,I***,3,8/29/2025
C379840010,S***,Lusaka,Chilenje,XXXX3463,I***,0,8/29/2025
C379880016,S***,Lusaka,Chilenje,XXXX8508,I***,4,9/1/2025
C379910011,E***,Lusaka,Chilenje,XXXX5591,I***,0,8/29/2025
C379930019,G***,Lusaka,Chilenje,XXXX8444,I***,0,8/29/2025
C379950017,M***,Lusaka,Chilenje,XXXX5744,I***,6,8/29/2025
C379970015,P***,Lusaka,Chilenje,XXXX2094,I***,0,8/29/2025
C379980014,I***,Lusaka,Matero,XXXX4000,A***,8,9/1/2025
C380040014,C***,Lusaka,Chalala,XXXX2312,I***,5,9/3/2025
C380060012,I***,Lusaka,Chilenje,XXXX1957,I***,0,9/3/2025
C380070011,M***,Lusaka,Chilenje,XXXX1788,I***,8,9/3/2025
C380090019,R***,Lusaka,Chilenje,XXXX9217,I***,0,9/3/2025
C380100016,S***,Lusaka,Chilenje,XXXX5547,I***,5,9/3/2025
C380120014,A***,Lusaka,Chilenje,XXXX0698,I***,5,9/3/2025
C380130013,T***,Lusaka,Matero,XXXX3395,A***,10,9/3/2025
C380140012,E***,Lusaka,Chilenje,XXXX5223,I***,8,9/3/2025
C380150011,P***,Lusaka,Chilenje,XXXX4949,I***,4,9/3/2025
C380160010,M***,Lusaka,Chilenje,XXXX4830,I***,6,9/3/2025
C380180018,D***,Lusaka,Chalala,XXXX5451,I***,0,9/3/2025
C380200014,C***,Lusaka,Chilenje,XXXX9189,I***,5,9/3/2025
C380220012,D***,Lusaka,Chilenje,XXXX2288,I***,6,9/2/2025
C380230011,J***,Lusaka,Chunga,XXXX6686,I***,5,9/4/2025
C380250019,Q***,Lusaka,Chilenje,XXXX6982,I***,3,9/1/2025
C380330019,R***,Lusaka,Chazanga,XXXX7444,M***,6,9/2/2025
C380340018,D***,Lusaka,Chazanga,XXXX6243,M***,5,9/2/2025
C380370015,K***,Lusaka,Chazanga,XXXX2804,M***,3,9/2/2025
C380380014,B***,Lusaka,Chazanga,XXXX0958,M***,5,9/2/2025
C380430017,R***,Lusaka,Chilenje,XXXX1212,I***,5,9/3/2025
C380490011,P***,Lusaka,Libala South,XXXX4595,L***,5,9/3/2025
C380510016,D***,Lusaka,Chilenje South,XXXX0081,I***,4,9/3/2025
C380520015,A***,Lusaka,Libala,XXXX1654,L***,6,9/3/2025
C380610014,A***,Lusaka,John Haward,XXXX3621,F***,11,9/5/2025
C380620013,C***,Lusaka,John Haward,XXXX1675,F***,6,9/5/2025
C380640011,J***,Lusaka,John Haward,XXXX9131,F***,5,9/5/2025
C380760017,V***,Lusaka,Apollo,XXXX4209,M***,7,9/5/2025
C380770016,J***,Lusaka,Apollo,XXXX1912,M***,4,9/5/2025
C380780015,M***,Lusaka,Apollo,XXXX5831,M***,6,9/5/2025
C380800011,P***,Lusaka,Apollo,XXXX4217,M***,7,9/5/2025
C380810010,O***,Lusaka,Apollo,XXXX2185,M***,6,9/5/2025
C380830018,M***,Lusaka,Apollo,XXXX1765,M***,4,9/5/2025
C380840017,J***,Lusaka,Apollo,XXXX1085,M***,3,9/5/2025
C380870014,J***,Lusaka,Apollo,XXXX4352,M***,8,9/5/2025
C380890012,M***,Lusaka,Apollo,XXXX2064,M***,7,9/5/2025
C380900019,H***,Lusaka,Apollo,XXXX1512,M***,6,9/5/2025
C380910018,E***,Lusaka,Apollo,XXXX7268,M***,9,9/5/2025
C380970012,E***,Lusaka,Chazanga,XXXX8860,J***,4,9/8/2025
C380980011,R***,Lusaka,Chazanga,XXXX6232,J***,7,9/8/2025
C380990010,P***,Lusaka,Chazanga,XXXX3022,J***,8,9/8/2025
C381000017,R***,Lusaka,Chazanga,XXXX4407,J***,8,9/8/2025
C381020015,S***,Lusaka,Chazanga,XXXX6892,J***,4,9/8/2025
C381080019,A***,Lusaka,Chazanga,XXXX2341,J***,0,9/8/2025
C381090018,P***,Lusaka,Chazanga,XXXX2760,J***,4,9/8/2025
C311410013,B***,Lusaka,Libala South,XXXX8453,E***,2,6/27/2023
C326080017,I***,Lusaka,5 Miles,XXXX6724,I***,5,11/22/2023
C327850012,M***,Lusaka,Ngombe,XXXX9618,B***,7,12/1/2023
C327990016,C***,Lusaka,Ngombe,XXXX3326,B***,7,12/1/2023
C328080015,M***,Lusaka,Ngombe,XXXX1030,B***,6,12/1/2023
C328190012,D***,Lusaka,Chilenje,XXXX2146,I***,3,12/5/2023
C329080014,C***,Lusaka,Mandevu,XXXX0261,C***,7,12/14/2023
C329270011,C***,Lusaka,Chazanga,XXXX4520,J***,3,12/15/2023
C333270015,B***,Lusaka,Jack Compound,XXXX3836,M***,1,4/22/2024
C333320018,J***,Lusaka,John Haward,XXXX2275,M***,5,4/22/2024
C333530012,F***,Lusaka,Jack Compound,XXXX3896,M***,1,5/15/2024
C334400017,R***,Lusaka,Ngombe,XXXX4531,B***,5,4/25/2024
C334420015,B***,Lusaka,Ngombe,XXXX1970,B***,3,4/25/2024
C336290010,B***,Lusaka,Zanimuone,XXXX9042,G***,5,5/8/2024
C336720016,B***,Lusaka,Zanimuone,XXXX0213,D***,5,5/10/2024
C336990015,S***,Lusaka,Zanimuone,XXXX8910,D***,7,5/10/2024
C339590010,R***,Lusaka,Chaminuka,XXXX5681,E***,7,5/24/2024
C340950013,A***,Lusaka,Kasupe,XXXX0826,J***,4,6/13/2024
C341010015,S***,Lusaka,Kasupe,XXXX4615,J***,6,6/13/2024
C342310018,A***,Lusaka,Chazanga,XXXX6597,J***,10,6/17/2024
C342810017,T***,Lusaka,Jack Compound,XXXX6291,L***,7,6/19/2024
C344990015,R***,Lusaka,Chilenje,XXXX0281,I***,6,7/8/2024
C345980015,N***,Lusaka,Chazanga,XXXX2297,J***,4,7/11/2024
C346580012,J***,Lusaka,Matero,XXXX2889,A***,9,7/17/2024
C346790017,N***,Lusaka,Kaunda Square Stage One,XXXX2658,J***,8,7/18/2024
C346800014,B***,Lusaka,Kaunda Square Stage One,XXXX2414,J***,7,7/18/2024
C349340018,M***,Lusaka,Ngombe,XXXX4041,G***,4,5/26/2025
C349350017,C***,Lusaka,Ngombe,XXXX8770,G***,5,5/26/2025
C349430017,F***,Lusaka,Ngombe,XXXX7524,J***,6,6/11/2025
C349460014,M***,Lusaka,Ngombe,XXXX6562,G***,5,5/26/2025
C349470013,M***,Lusaka,Garden Compound,XXXX3068,J***,6,5/26/2025
C349510016,P***,Lusaka,Garden Compound,XXXX3727,M***,6,5/26/2025
C349520015,R***,Lusaka,Garden Compound,XXXX9525,M***,9,5/27/2025
C349530014,N***,Lusaka,Garden Compound,XXXX0565,M***,6,5/26/2025
C349540013,M***,Lusaka,Garden Compound,XXXX5843,M***,12,5/26/2025
C349580019,E***,Lusaka,Shantumbu,XXXX0274,S***,12,5/28/2025
C349710012,P***,Lusaka,6 Miles,XXXX0496,C***,7,5/28/2025
C349790014,E***,Lusaka,6 Miles,XXXX5639,E***,6,5/28/2025
C349850016,P***,Lusaka,6 Miles,XXXX0931,G***,5,5/28/2025
C349880013,F***,Lusaka,6 Miles,XXXX7730,G***,4,5/28/2025
C349960013,B***,Lusaka,6 Miles,XXXX5707,G***,11,5/28/2025
C350040010,C***,Lusaka,6 Miles,XXXX4602,G***,6,5/28/2025
C350050019,L***,Lusaka,6 Miles,XXXX3528,G***,7,5/28/2025
C350060018,P***,Lusaka,6 Miles,XXXX8041,G***,5,5/28/2025
C350080016,J***,Lusaka,6 Miles,XXXX5515,G***,5,5/28/2025
C350100012,F***,Lusaka,6 Miles,XXXX6215,G***,6,5/28/2025
C350110011,E***,Lusaka,6 Miles,XXXX3840,G***,6,5/28/2025
C350840013,W***,Lusaka,15 Miles,XXXX0489,S***,12,5/30/2025
C350850012,C***,Lusaka,15 Miles,XXXX2691,S***,7,5/30/2025
C350880019,E***,Lusaka,15 Miles,XXXX0364,S***,4,5/30/2025
C350920013,M***,Lusaka,15 Miles,XXXX9187,S***,4,5/30/2025
C350970018,E***,Lusaka,15 Miles,XXXX1861,S***,5,5/30/2025
C351000013,N***,Lusaka,15 Miles,XXXX3974,S***,5,5/30/2025
C351010012,M***,Lusaka,15 Miles,XXXX2150,S***,5,5/30/2025
C351080015,F***,Lusaka,15 Miles,XXXX1272,S***,6,5/30/2025
C351130018,C***,Lusaka,15 Miles,XXXX9601,S***,6,5/30/2025
C351140017,G***,Lusaka,15 Miles,XXXX2959,B***,5,5/30/2025
C351160015,H***,Lusaka,15 Miles,XXXX8543,B***,6,5/30/2025
C351220017,R***,Lusaka,15 Miles,XXXX2756,B***,8,5/30/2025
C351240015,M***,Lusaka,15 Miles,XXXX8677,S***,6,6/11/2025
C351300017,S***,Lusaka,15 Miles,XXXX3693,S***,9,5/30/2025
C351430012,T***,Lusaka,Kamwala South,XXXX0953,G***,5,6/3/2025
C351510011,M***,Lusaka,Jack Compound,XXXX6556,M***,8,6/13/2025
